serial_no,date,time,device_name,tankpercent,timestamp,volume_liters,volume_gallons,pump_count,pump_rate_lpm
1,24/04/2026,16:32:06,IIIT Pond,52.94,2026-04-24T11:02:06.000Z,2158.66,570.26,0,25.02
2,24/04/2026,16:32:06,IIIT Pond,52.88,2026-04-24T11:02:06.000Z,2156.21,569.61,0,24.99
3,24/04/2026,16:32:06,IIIT Pond,52.82,2026-04-24T11:02:06.000Z,2153.77,568.97,0,24.96
4,24/04/2026,16:37:42,IIIT Pond,52.75,2026-04-24T11:07:42.000Z,2151.09,568.26,0,24.93
5,24/04/2026,16:38:38,IIIT Pond,52.69,2026-04-24T11:08:38.000Z,2148.37,567.54,0,24.95
6,24/04/2026,16:42:26,IIIT Pond,52.63,2026-04-24T11:12:26.000Z,2145.85,566.87,0,24.94
7,24/04/2026,16:43:24,IIIT Pond,52.56,2026-04-24T11:13:24.000Z,2143.40,566.23,0,24.93
8,24/04/2026,16:48:10,IIIT Pond,52.49,2026-04-24T11:18:10.000Z,2140.48,565.45,0,24.86
9,24/04/2026,16:52:52,IIIT Pond,52.42,2026-04-24T11:22:52.000Z,2137.59,564.69,0,24.88
11,24/04/2026,22:03:18,IIIT Pond,46,2026-04-24T16:33:18.910Z,1875.81,495.54,0,24.68
12,24/04/2026,22:33:18,IIIT Pond,46,2026-04-24T17:03:18.949Z,1875.81,495.54,0,24.75
13,26/04/2026,11:06:26,IIIT Pond,46,2026-04-26T05:36:26.586Z,1875.81,495.54,0,24.97
14,26/04/2026,11:08:25,IIIT Pond,46,2026-04-26T05:38:25.109Z,1875.81,495.54,0,24.88
15,26/04/2026,11:10:34,IIIT Pond,46,2026-04-26T05:40:34.525Z,1875.81,495.54,0,25.02
16,26/04/2026,11:40:34,IIIT Pond,46,2026-04-26T06:10:34.560Z,1875.81,495.54,0,24.54
17,04/05/2026,14:02:15,IIIT Pond,46,2026-05-04T08:32:15.002Z,1875.81,495.54,0,24.7
18,04/05/2026,14:25:55,IIIT Pond,46,2026-05-04T08:55:55.039Z,1875.81,495.54,0,24.97
